pair,pair,observations,static_beta,coint_statistic,coint_pvalue,coint_qvalue,adf_statistic,adf_pvalue,half_life_days,hurst_exponent,return_correlation,first_half_beta,second_half_beta,beta_instability,passes_research_gate,gate_reasons
wti_brent,wti_brent,2030,1.0147390535939875,-5.596285163660939,1.1437967180180128e-05,4.575186872072051e-05,-5.594776986255583,1.3045430221894092e-06,7.84145851088284,0.246917082928836,0.8458566257404099,1.0181375934341845,1.0237565721564261,0.005537363228842314,True,()
treasury_2y_1y,treasury_2y_1y,2041,1.3117552741409353,-5.794990811933326,4.4353658994451175e-06,3.548292719556094e-05,-5.8796785223361185,3.0995387138123477e-07,15.629147637887932,0.36482944260078604,0.3390198103999321,1.3034881457154044,1.1289516684385579,0.13305567030492782,True,()
sp500_dow,sp500_dow,2041,0.7212575392348617,-3.689602473509201,0.018897011365794823,0.030235218185271716,-3.6885126207961805,0.0042776666859189304,50.063124225021966,0.44736468772321675,0.911799990186104,0.6472435644402675,0.7429191097618667,0.1326510159229608,True,()
nasdaq_sp500,nasdaq_sp500,2041,0.8220821855036831,-2.857891471179585,0.14795808439180297,0.14795808439180297,-2.857678802029048,0.05049536086993957,151.48687713012512,0.5140212875277714,0.955715994615961,0.4955856919049451,0.7987865279142639,0.3688205891769204,False,"('cointegration', 'stationarity', 'half_life', 'hurst', 'cointegration_fdr')"
euro_sterling,euro_sterling,2038,0.9290145137608404,-3.5823463607014,0.025760887301701858,0.034347849735602475,-3.583887841740267,0.0060766347111439415,47.23273416290577,0.33956847279730457,0.7735137263443317,1.0203546282070681,0.7129389054092106,0.33090518850278877,True,()
hy_ig_credit,hy_ig_credit,1096,1.11574520455371,-4.789972852181658,0.0003930628726421458,0.0010481676603790555,-4.787938124214196,5.7350312012156e-05,16.160359243124898,0.20245374110942133,0.7226713518582024,1.057442936885743,0.9461359798534161,0.0997601930781758,True,()
vix_curve,vix_curve,2041,0.8002194324817186,-3.1426080233017886,0.08006143218167244,0.09149877963619708,-3.1423535973323027,0.02357350847777992,14.083753270090982,0.18248697970554528,0.9639769786034688,0.7678106943217446,0.7375835369296072,0.03777358580057726,False,"('cointegration',)"
bitcoin_ether,bitcoin_ether,2044,0.46297385268228297,-3.766693598066345,0.01500586433444038,0.03001172866888076,-3.766234634299962,0.003272299790016772,70.70449207619744,0.49669084261508845,0.8099963663635681,0.8156896850901048,0.42831038550058687,0.8367196059673762,False,"('beta_instability',)"
